0A:0,006075726|0,006090258|0|0|
0B:0,006075726|0,006090258|0|0|
0C:0,006075726|0,006090258|0|0|
0D:0,006075726|0,006090258|0|0|
0E:0,006075726|0,006090258|0|0|
0F:0,006075726|0,006090258|0|0|
0G:0,006075726|0,006090258|0|0|
0H:0,006075726|0,006090258|0|0|
0I:0,006075726|0,006090258|0|0|
0J:0,006075726|0,006090258|0|0|
0K:0,006075726|0,006090258|0|0|
0L:0,006075726|0,006090258|0|0|
0M:0,006075726|0,006090258|0|0|
0N:0,006075726|0,006090258|0|0|
1A:0,006075726|0,006090258|0|0|
1B:0,01218041|0,01219761|0|0,003039563|
1C:0|0,02439937|0|0,006095609|
1D:0,04880258|0|0|0,01219818|
1E:0|0|0|0|
1F:0,1952376|0,2028971|0|0|
1G:0,3966995|0,4083709|0|0,1002161|
1H:0,7809719|0,8203584|0|0,2014722|
1I:0|1,675965|0|0,4083922|
1J:3,454604|3,455684|0|0,8203587|
1K:6,97085|1,723511|0|1,723116|
1L:3,45163|0,8523217|0|3,438821|
1M:1,696573|0,4278413|0|1,725284|
1N:0,8635083|0|0|0,8577216|
2A:0,006075726|0,006090258|0|0|
2B:0|0,02439937|0|0,006095609|
2C:0|0|0|0|
2D:0,3966995|0,4083709|0|0,1002161|
2E:0|1,675965|0|0,4083922|
2F:6,97085|1,723511|0|1,723116|
2G:1,696573|0,4278413|0|1,725284|
2H:0,0121549|0,01218966|0,003039112|0|
2I:0|0|0|0|
2J:0,1952332|0,1952404|0|0,04879073|
2K:0,8361501|0,778687|0,1999608|0,1952185|
2L:0|0|0|0|
2M:13,96012|3,4732|3,436386|3,47011|
2N:3,464568|0,8631451|0,857446|3,47237|
3A:0,006075726|0,006090258|0|0|
3B:0,04880258|0|0|0,01219818|
3C:0,3966995|0,4083709|0|0,1002161|
3D:3,454604|3,455684|0|0,8203587|
3E:1,696573|0,4278413|0|1,725284|
3F:0,02438864|0|0,006087344|0,006091352|
3G:0,1952332|0,1952404|0|0,04879073|
3H:1,721464|0|0,3899442|0,3904077|
3I:13,96012|3,4732|3,436386|3,47011|
3J:1,724473|0|0,430932|1,727841|
3K:0,09734362|0,09759106|0|0,02438596|
3L:0,8623399|0,8516702|0,1952385|0,1952183|
3M:6,938113|6,939332|0|1,562233|
3N:14,40012|3,484787|3,392135|14,31876|
4A:0,006075726|0,006090258|0|0|
4B:0|0|0|0|
4C:0|1,675965|0|0,4083922|
4D:1,696573|0,4278413|0|1,725284|
4E:0|0|0|0|
4F:0,8361501|0,778687|0,1999608|0,1952185|
4G:13,96012|3,4732|3,436386|3,47011|
4H:0,02423389|0,02438694|0,005995601|0|
4I:0,389818|0,4080929|0,09761886|0,09758892|
4J:6,938113|6,939332|0|1,562233|
4K:7,060699|1,747604|1,730401|6,990088|
4L:0,04869011|0,1950185|0,04878761|0,04846493|
4M:0,8756366|3,506591|0,8574159|0,8636895|
4N:58,52707|14,10648|13,97947|14,28332|
5A:0,006075726|0,006090258|0|0|
5B:0,1952376|0,2028971|0|0|
5C:6,97085|1,723511|0|1,723116|
5D:0,02438864|0|0,006087344|0,006091352|
5E:0,8361501|0,778687|0,1999608|0,1952185|
5F:6,923585|1,724509|1,702832|6,973658|
5G:0,09734362|0,09759106|0|0,02438596|
5H:3,496016|3,45485|0,8508496|0,8306814|
5I:7,060699|1,747604|1,730401|6,990088|
5J:0,09746344|0,3965206|0,09759197|0,09739741|
5K:3,52107|14,1525|3,460641|3,457718|
5L:7,152321|0|1,729821|6,785122|
5M:0,3773075|0,4287271|0,3963307|0,09753539|
5N:0|0|0|0|
6A:0,006075726|0,006090258|0|0|
6B:0,3966995|0,4083709|0|0,1002161|
6C:1,696573|0,4278413|0|1,725284|
6D:0,1952332|0,1952404|0|0,04879073|
6E:13,96012|3,4732|3,436386|3,47011|
6F:0,09734362|0,09759106|0|0,02438596|
6G:6,938113|6,939332|0|1,562233|
6H:0,01210596|0,04850776|0,01219242|0|
6I:0,8756366|3,506591|0,8574159|0,8636895|
6J:14,1913|3,376907|3,40957|14,44497|
6K:0,3773075|0,4287271|0,3963307|0,09753539|
6L:117,4537|28,8716|27,8055|0|
6M:0|0,180513|0,04874212|0,04367692|
6N:14,63618|0|3,405213|3,11689|
7A:0,006075726|0,006090258|0|0|
7B:0,7809719|0,8203584|0|0,2014722|
7C:0,0121549|0,01218966|0,003039112|0|
7D:1,721464|0|0,3899442|0,3904077|
7E:0,02423389|0,02438694|0,005995601|0|
7F:3,496016|3,45485|0,8508496|0,8306814|
7G:0,01210596|0,04850776|0,01219242|0|
7H:1,768352|7,013559|1,739856|1,751068|
7I:0|0,02430816|0,024236|0|
7J:3,598103|3,490718|3,491899|0,8675392|
7K:0|0|0|0|
7L:7,235697|7,207325|1,772813|1,710916|
7M:0,02132972|0|0|0|
7N:0|14,63839|3,567277|3,647624|
